listen	5	5	0	4	4	5	5	0	4	4
assembl	3	0	3	5	7	4	0	4	6	7
trust	6	2	2	3	5	6	2	3	4	5
rid	3	4	5	2	4	3	4	5	2	4
continu	7	2	2	2	5	9	2	4	2	5
suffer	3	4	4	1	6	5	4	4	1	6
secur	3	4	3	4	4	3	6	3	4	5
delay	0	3	6	4	5	0	3	8	5	5
expir	14	2	2	0	1	14	2	2	0	1
crt	1	3	3	3	9	1	4	3	4	11
directv	3	0	6	4	6	5	0	7	4	6
enter	3	1	4	8	3	3	2	4	8	5
format	2	3	2	5	7	4	4	2	5	10
manag	4	3	1	6	5	6	4	1	8	5
darker	3	1	5	5	5	3	1	6	5	8
default	2	2	2	6	7	2	4	4	13	8
surf	1	2	2	6	8	1	3	3	6	9
sudden	6	5	5	1	2	6	5	5	1	2
hps4253	1	0	2	2	14	1	0	2	4	19
instant	5	3	5	5	1	5	4	10	6	1
warn	4	4	6	0	5	4	6	6	0	5
promis	3	5	7	3	1	3	7	7	3	1
dynam	5	0	2	5	7	7	0	3	6	8
graphic	2	3	5	4	5	4	3	7	4	5
adequ	3	1	3	6	6	3	1	4	6	6
coax	3	2	3	4	7	3	2	3	4	7
schedul	5	7	1	1	5	6	11	3	1	6
cord	3	3	2	4	7	7	4	4	4	8
reliabl	6	1	4	1	7	7	1	4	1	7
photo	5	2	3	5	4	6	4	4	5	10
alot	4	2	3	1	9	4	3	4	1	9
avoid	7	2	1	4	5	8	2	1	5	5
gorgeous	1	0	4	5	10	1	0	4	5	11
appl	5	0	3	8	4	9	0	6	13	5
imposs	7	3	3	3	4	7	4	3	3	4
superb	1	0	3	0	16	1	0	3	0	16
physic	5	0	4	5	6	7	0	5	6	6
ip	1	1	3	5	10	3	2	4	6	13
desir	4	3	6	1	6	4	3	7	1	6
charg	3	5	4	3	5	4	5	5	3	5
tilt	1	1	2	8	8	1	2	3	8	8
sync	1	3	5	4	7	2	4	6	5	8
bigger	1	1	8	4	6	1	1	11	6	9
match	2	1	5	1	11	2	1	6	2	12
pack	8	2	4	3	3	9	2	4	4	3
convert	4	0	4	7	5	4	0	4	7	5
bring	3	5	1	2	9	3	6	1	2	10
activ	1	3	3	10	3	4	4	3	11	3
indic	7	5	4	3	1	8	6	4	3	1
pandora	1	4	0	5	10	2	4	0	5	11
accur	1	2	2	6	9	1	2	2	6	9
ahead	2	1	3	4	10	2	1	3	4	10
hookup	1	0	5	6	8	1	0	5	7	13
pic	2	0	4	3	11	2	0	4	3	15
disabl	3	3	3	6	5	4	3	3	6	5
speak	6	4	2	5	3	8	4	2	6	3
buffer	0	8	8	1	2	0	11	10	1	2
enabl	2	4	4	3	7	2	4	4	3	9
profil	1	0	3	11	5	1	0	3	13	5
hang	1	1	3	6	10	1	2	3	6	10
cabinet	1	2	3	3	12	1	2	3	4	16
thick	4	2	2	7	6	4	3	5	7	9
2d	1	2	1	8	9	1	2	1	12	12
special	2	2	1	5	11	2	2	1	5	12
shame	7	6	2	2	4	7	6	2	2	4
advanc	3	4	4	7	3	3	5	4	9	3
3rd	2	3	3	5	8	2	4	3	5	8
depth	3	1	2	5	10	6	1	2	6	10
voic	5	2	1	10	3	5	2	1	10	3
technician	10	6	2	2	1	18	9	2	2	1
chanc	4	0	8	4	5	4	0	8	4	5
error	3	7	3	3	4	3	9	3	3	4
locat	3	2	2	10	4	3	2	2	10	5
shut	8	4	3	2	4	12	6	3	2	4
cloud	6	1	7	7	0	20	1	26	7	0
stereo	1	1	0	7	12	1	1	0	10	13
pull	7	2	2	3	7	9	2	2	3	7
unabl	3	7	6	2	3	3	9	6	2	3
sold	3	6	3	2	7	4	6	3	2	7
air	1	4	1	3	12	1	4	1	4	13
flaw	5	3	6	5	2	5	3	6	5	2
tune	1	2	5	5	8	1	2	6	5	8
dim	1	3	1	9	8	9	3	2	12	9
bare	1	4	3	7	7	1	4	3	7	8
share	2	1	4	4	11	2	4	4	4	11
2nd	6	4	4	3	5	7	4	5	3	5
chose	2	3	4	4	9	2	3	4	4	9
fan	2	7	2	5	6	2	7	2	5	6
wow	1	1	1	4	15	1	1	1	5	16
intern	2	2	4	2	12	3	2	6	3	14
visibl	5	2	2	5	8	6	3	3	6	8
attract	0	3	7	3	9	0	3	7	3	9
auto	3	2	2	8	7	5	2	3	9	9
biggest	1	4	2	8	7	1	4	2	9	8
pair	2	2	6	8	4	2	2	6	8	4
browser	2	3	5	6	6	4	7	7	7	8
connector	5	1	1	6	9	8	1	1	12	13
equip	4	3	1	5	9	9	3	1	5	10
life	2	1	4	3	12	2	1	4	3	14
junk	16	2	1	0	3	18	2	1	0	3
heard	10	5	2	0	5	11	5	2	0	6
commerci	2	11	4	2	3	2	14	6	2	3
resolv	7	7	3	4	1	7	8	4	4	1
messag	9	4	6	1	2	9	6	6	2	2
attach	2	4	4	8	5	2	4	7	11	5
forward	7	3	7	3	3	7	3	7	3	3
satellit	2	1	3	4	13	2	1	3	4	18
band	4	3	6	5	5	4	4	12	7	6
lost	6	3	4	5	5	6	3	4	5	5
flawless	1	0	2	3	17	1	0	2	3	18
rich	1	3	1	5	13	1	3	1	5	13
assum	6	4	2	6	5	6	4	2	8	5
automat	3	2	2	8	8	3	2	2	8	8
code	3	3	4	3	10	4	5	4	3	11
ota	2	3	3	3	12	2	4	3	3	15
friday	4	0	2	7	10	5	0	2	8	11
prime	4	6	2	8	3	5	10	2	8	3
natur	3	1	5	7	7	6	1	5	8	8
hardwar	4	6	5	1	7	5	8	6	3	7
crystal	0	3	2	2	16	0	3	2	2	17
tube	3	2	4	4	10	3	2	5	5	12
idea	3	7	4	5	4	3	7	4	5	4
scratch	5	1	4	3	11	6	1	4	4	11
def	2	3	0	4	15	3	3	0	5	18
term	5	4	4	9	2	5	6	4	9	2
happier	1	1	0	1	21	1	1	0	1	21
loud	4	5	1	1	13	5	6	1	1	13
exampl	4	4	4	9	3	5	5	5	9	3
polici	11	4	5	0	4	11	6	7	0	4
suppli	5	5	6	6	2	6	5	8	9	2
agre	9	3	7	1	4	10	3	8	1	4
glad	4	1	1	6	12	4	1	1	6	12
explain	6	7	5	4	2	6	7	6	4	2
applic	1	7	3	7	7	2	12	3	8	7
entertain	1	4	3	9	8	1	5	6	12	8
step	1	0	8	8	8	1	0	10	10	8
write	4	5	3	5	8	4	7	3	6	8
websit	6	7	1	5	6	6	12	1	6	6
negat	6	0	1	5	13	6	0	1	5	16
viera	4	1	1	5	14	4	1	1	11	15
weird	9	2	6	4	4	10	2	7	4	4
pop	6	3	2	7	7	6	5	4	7	7
sort	3	5	2	9	6	3	8	2	9	6
experienc	8	3	3	4	7	8	3	3	4	7
protect	3	3	2	6	11	3	3	2	6	12
click	6	3	4	7	6	8	5	4	11	6
cut	6	4	1	10	5	9	4	1	10	5
text	1	4	5	8	8	2	5	5	11	9
suck	7	6	5	4	4	8	7	6	4	6
wast	13	4	2	3	4	15	4	3	3	4
troubl	9	3	3	4	7	12	3	3	4	8
action	4	3	3	7	9	4	3	3	8	9
break	5	8	2	4	7	6	9	2	4	7
insid	6	1	8	4	7	6	1	9	4	9
claim	9	5	2	3	7	12	6	2	3	9
aspect	3	3	4	8	8	3	3	4	11	9
posit	5	3	8	4	6	5	3	9	4	6
fault	6	2	7	3	8	6	2	8	3	8
ton	0	1	5	10	11	0	1	5	11	13
third	12	4	2	4	5	12	4	3	4	5
interest	4	2	2	8	11	4	2	2	8	11
newer	3	3	3	9	9	3	5	3	11	9
hz	2	3	6	6	10	2	3	9	7	12
easier	1	3	6	10	7	1	3	6	10	7
hit	8	5	2	8	4	10	6	2	11	5
reflect	2	0	5	8	12	2	0	5	12	13
face	7	3	3	4	10	8	3	3	4	12
ethernet	1	2	3	9	12	1	2	3	12	14
slim	3	3	3	6	12	3	3	3	7	12
push	4	3	6	4	10	4	3	6	4	13
retail	8	3	4	5	7	8	3	4	7	7
produc	2	3	4	4	14	2	4	11	9	16
technic	9	2	6	5	5	9	2	7	5	5
load	5	3	5	10	5	7	3	7	11	5
attempt	8	4	4	7	4	10	6	4	7	4
middl	7	8	8	4	1	7	8	8	5	1
opinion	2	4	4	10	8	2	4	4	10	9
hulu	4	5	5	9	5	4	7	6	10	5
stuff	0	2	4	8	13	0	2	4	8	16
knew	6	3	3	5	11	6	5	3	6	11
remov	7	3	8	4	6	19	3	9	5	6
station	5	4	5	6	8	9	4	6	7	9
worri	1	5	0	5	17	1	5	0	5	21
composit	3	3	3	6	13	3	8	3	7	16
weak	4	2	7	11	4	6	2	7	15	5
comparison	1	4	6	5	12	1	4	6	6	13
depend	2	3	8	12	3	2	5	9	12	3
music	3	0	4	8	13	3	0	4	11	13
multipl	3	6	3	4	12	3	10	3	4	13
xfiniti	0	16	11	0	0	0	20	16	0	0
comcast	0	13	5	3	7	0	17	6	3	7
general	2	3	8	6	9	3	3	9	6	9
creat	4	6	6	7	5	4	6	6	9	5
rma	12	3	1	5	7	13	3	1	5	8
tcl	2	4	1	7	14	6	6	1	9	31
straight	4	5	8	8	4	4	5	9	8	4
analog	3	3	4	8	11	6	3	5	11	12
lose	4	4	6	7	8	4	5	8	7	8
learn	12	5	3	6	3	12	6	3	6	3
choos	6	2	6	7	7	6	2	6	8	7
intuit	0	1	9	13	6	0	2	9	13	8
buck	7	4	1	6	11	7	5	1	6	13
answer	12	7	6	2	2	13	7	6	2	2
univers	2	4	4	11	8	2	10	4	13	9
plastic	6	0	4	9	10	7	0	4	9	11
kid	5	2	5	5	12	5	2	5	5	12
pain	6	2	8	10	3	6	2	8	10	3
headphon	3	3	9	8	6	4	9	13	10	7
refus	12	5	5	4	3	13	5	5	4	4
lightweight	3	0	5	8	13	3	0	5	8	13
despit	5	3	10	5	6	5	3	10	5	6
clean	2	0	2	8	17	3	0	2	9	19
smaller	3	2	4	7	13	3	3	4	7	14
spot	8	4	7	3	7	12	4	10	3	7
broke	12	5	4	3	5	15	7	4	3	5
vertic	10	4	6	4	5	10	4	9	5	6
dvi	0	2	2	7	19	0	2	2	8	23
stun	1	1	2	7	19	1	1	2	7	20
futur	10	4	4	7	5	11	5	4	8	5
menus	0	1	6	8	15	0	1	6	10	16
beat	1	2	2	8	17	1	2	3	8	17
ratio	0	5	3	9	13	0	8	3	11	16
mind	8	4	5	6	7	10	4	5	7	8
flash	3	6	11	4	6	4	8	13	6	6
origin	5	2	12	6	5	8	2	15	6	6
random	10	8	5	4	3	10	9	6	4	3
singl	6	4	2	8	10	7	4	2	9	11
broadcast	1	3	3	7	16	2	5	5	8	25
realiz	6	5	4	9	6	7	5	4	10	6
wii	2	2	4	10	13	2	3	5	11	21
extend	13	6	4	5	3	19	7	7	6	3
sell	10	2	5	7	7	12	2	5	7	7
post	6	2	8	10	5	6	2	10	11	5
bleed	6	5	7	8	5	7	9	8	9	6
proper	5	6	3	6	11	5	6	3	7	11
famili	6	4	2	7	12	7	4	2	11	12
1080i	3	3	5	8	12	3	4	6	9	13
separ	4	5	6	6	10	4	5	8	6	10
roku	5	4	9	6	8	6	15	13	6	10
factori	6	4	8	6	8	7	6	12	7	8
sd	0	1	3	5	23	0	1	4	6	26
busi	10	2	2	7	11	12	3	2	7	13
wash	8	4	8	5	7	8	5	9	5	7
cover	9	7	7	5	4	12	10	10	5	5
consum	5	3	4	7	13	5	4	5	8	13
router	2	6	5	8	11	3	8	7	14	13
night	6	5	6	6	9	6	6	9	7	10
wire	6	3	4	11	8	9	4	5	14	8
swivel	2	1	2	10	17	2	1	3	13	19
energi	1	0	8	11	13	1	0	8	12	14
concern	0	5	6	5	17	0	5	6	5	17
laptop	7	2	4	10	10	7	2	5	14	11
instruct	8	3	4	9	9	8	3	5	12	10
eye	2	3	7	10	11	2	3	7	10	13
green	12	6	5	4	6	14	8	8	4	7
vivid	1	1	4	11	16	1	1	4	13	18
addit	4	6	6	8	9	4	6	6	10	10
board	16	7	6	3	1	26	11	9	3	1
period	12	4	7	4	6	12	4	7	4	6
fire	3	11	8	5	6	8	13	9	5	7
bewar	17	6	4	4	2	22	6	4	4	2
prefer	0	0	8	10	15	0	0	9	13	17
finish	1	1	7	5	19	1	1	9	5	20
rep	16	6	6	3	2	21	6	7	4	2
initi	8	4	7	7	7	10	5	8	7	8
buyer	16	5	8	4	1	18	5	8	4	1
die	22	6	2	2	2	28	8	3	2	2
bother	6	7	3	6	12	6	8	3	6	12
electron	9	4	3	7	11	9	6	3	8	14
seri	5	3	10	9	7	6	4	22	16	9
clariti	1	3	3	12	15	1	3	3	12	15
condit	7	1	2	9	15	8	1	2	9	16
cheaper	2	5	6	7	13	3	7	6	7	13
guid	1	1	6	12	14	1	1	10	13	16
reset	8	7	6	8	5	8	9	6	11	5
drive	2	3	6	12	11	3	3	10	12	12
report	7	3	6	5	13	9	3	7	5	14
readi	4	6	4	8	12	4	6	9	8	14
sleek	0	2	7	9	16	0	2	7	9	17
media	2	5	6	6	15	3	7	9	10	18
keyboard	5	5	9	11	4	8	18	15	13	5
blur	2	4	3	10	15	2	5	4	10	15
file	7	4	4	9	10	10	11	6	12	17
dollar	7	3	4	5	15	7	3	4	6	17
question	6	6	9	5	9	6	6	9	8	12
short	7	6	4	8	10	8	7	5	9	10
speed	5	8	6	8	8	6	9	9	9	8
common	18	6	2	3	6	19	7	2	3	6
handl	5	4	9	3	14	5	4	15	5	15
window	5	4	3	6	17	7	4	4	6	22
av	2	4	4	10	15	2	5	5	15	19
difficult	4	5	11	9	6	4	5	14	9	6
luck	17	4	6	3	5	18	4	6	3	5
site	9	3	7	6	10	11	3	8	9	10
builtin	0	2	8	8	17	0	8	12	10	19
wife	1	2	3	9	20	1	2	3	15	24
ghost	3	2	5	7	18	5	4	6	8	19
smooth	4	5	8	10	8	4	5	9	11	8
hand	6	3	6	8	13	6	3	6	9	15
build	2	6	6	9	13	2	6	6	11	13
stuck	11	7	5	8	5	11	9	5	9	5
larger	4	2	4	15	11	6	2	5	15	11
shop	9	6	5	7	9	11	7	6	8	9
