ASUM,B0074FGLUM,0,0,great picture
HTMM,B0074FGLUM,0,0,its a really nice size and i cant tell the difference between the  and  in a room the size of a living room
ASUM,B0074FGLUM,0,1,great picture
ASUM,B0074FGLUM,0,1,not good
HTMM,B0074FGLUM,0,1,its a really nice size and i cant tell the difference between the  and  in a room the size of a living room
HTMM,B0074FGLUM,0,1,great small room tv
HTSM,B0074FGLUM,0,0,its a really nice size and i cant tell the difference between the  and  in a room the size of a living room
HTSM,B0074FGLUM,0,0,nice great led screen
HTSM,B0074FGLUM,0,1,nice great led screen
HTSM,B0074FGLUM,0,1,good
HTSM,B0074FGLUM,8,0,the tv screen is already showing issues
ASUM,B0074FGLUM,8,0,smashed screen
HTSM,B0074FGLUM,8,1,the tv screen is already showing issues
HTSM,B0074FGLUM,8,1,smashed screen
HTSM,B0074FGLUM,8,1,the screen was black and red
HTMM,B0074FGLUM,8,0,the tv screen is already showing issues
HTMM,B0074FGLUM,8,0,the screen was black and red
HTMM,B0074FGLUM,8,0,now there is a  diameter black circle on the bottom edge of the screen
HTMM,B0074FGLUM,8,1,now there is a  diameter black circle on the bottom edge of the screen
HTMM,B0074FGLUM,8,1,light in image goes dark and light sometimes
ASUM,B0074FGLUM,8,1,smashed screen
ASUM,B0074FGLUM,8,1,we are very disappointed with the tv
ASUM,B0074FGLUM,1,0,well
HTMM,B0074FGLUM,1,0,this is a great tv and i got it for a great price
ASUM,B0074FGLUM,1,1,well
ASUM,B0074FGLUM,1,1,the picture on this tv is great
HTMM,B0074FGLUM,1,1,this is a great tv and i got it for a great price
HTMM,B0074FGLUM,1,1,great tv for the price
HTSM,B0074FGLUM,1,0,this is a great tv and i got it for a great price
HTSM,B0074FGLUM,1,0,great for price
HTSM,B0074FGLUM,1,1,great for price
HTSM,B0074FGLUM,1,1,great tv for the price
HTSM,B0074FGLUM,1,1,great tv good price
ASUM,B0074FGLUM,9,0, and it will not last  years
HTMM,B0074FGLUM,9,0,i only used it for  months
HTSM,B0074FGLUM,9,0,i only used it for  months
HTSM,B0074FGLUM,9,0,only works until right after warranty is out  year
ASUM,B0074FGLUM,9,1, and it will not last  years
ASUM,B0074FGLUM,9,1,worked for less than hrs
HTSM,B0074FGLUM,9,1,only works until right after warranty is out  year
HTSM,B0074FGLUM,9,1,after  months of use samsung uneh stopped working
HTMM,B0074FGLUM,9,1,i only used it for  months
HTMM,B0074FGLUM,9,1,do  not buy
ASUM,B0074FGLUM,2,0,good
HTMM,B0074FGLUM,2,0,the sound on this tv was unbearable
ASUM,B0074FGLUM,2,1,good
ASUM,B0074FGLUM,2,1,i cant tell if the tv is great or not
HTMM,B0074FGLUM,2,1,the sound on this tv was unbearable
